Código;Disponível no Portal;Código de difusão;Data de entrada em uso;Data do último carregamento
1;Sim;1066;19/10/2015;19/10/2015
4;Não;;;
6;Sim;1068;14/10/2015;14/10/2015
7;Sim;1069;14/10/2015;14/10/2015
8;Sim;1070;14/10/2015;14/10/2015
9;Sim;1071;14/10/2015;14/10/2015
10;Sim;1072;14/10/2015;14/10/2015
11;Sim;1073;19/10/2015;19/10/2015
12;Sim;1074;19/10/2015;19/10/2015
13;Sim;1469;30/03/2021;30/03/2021
14;Sim;1470;30/03/2021;30/03/2021
15;Sim;1473;30/03/2021;30/03/2021
16;Sim;1475;30/03/2021;30/03/2021
17;Não;;;
18;Não;;;
19;Não;;;
20;Não;;;
21;Não;;;
22;Não;;;
23;Não;;;
24;Não;;;
25;Não;;;
26;Sim;594;13/01/2015;13/01/2015
27;Sim;595;13/01/2015;13/01/2015
28;Sim;596;13/01/2015;13/01/2015
29;Sim;597;13/01/2015;13/01/2015
30;Sim;598;13/01/2015;13/01/2015
31;Sim;599;13/01/2015;13/01/2015
32;Sim;600;13/01/2015;13/01/2015
33;Sim;95;26/01/2017;26/01/2017
34;Sim;96;02/06/2015;02/06/2015
35;Sim;601;13/01/2015;13/01/2015
37;Sim;603;13/01/2015;13/01/2015
38;Sim;604;13/01/2015;13/01/2015
39;Sim;605;13/01/2015;13/01/2015
40;Sim;606;13/01/2015;13/01/2015
41;Sim;257;26/01/2017;26/01/2017
42;Sim;97;11/07/2017;11/07/2017
43;Sim;98;13/01/2015;13/01/2015
44;Sim;99;13/01/2015;13/01/2015
45;Sim;1288;13/01/2015;13/01/2015
46;Sim;611;13/01/2015;13/01/2015
52;Sim;1289;13/01/2015;13/01/2015
53;Sim;1236;13/01/2015;13/01/2015
56;Sim;1153;13/01/2015;13/01/2015
89;Não;;;
90;Não;;;
93;Não;;;
94;Não;;;
95;Não;;;
96;Não;;;
98;Não;;;
99;Não;;;
110;Não;;;
113;Não;;;
119;Não;;;
143;Sim;435;08/06/2012;08/06/2012
144;Sim;436;08/06/2012;08/06/2012
145;Sim;437;08/06/2012;08/06/2012
146;Sim;438;08/06/2012;08/06/2012
147;Sim;439;08/06/2012;08/06/2012
148;Sim;440;08/06/2012;08/06/2012
151;Sim;441;25/06/2015;25/06/2015
152;Sim;442;08/06/2012;08/06/2012
153;Sim;443;08/06/2012;08/06/2012
154;Sim;444;08/06/2012;08/06/2012
155;Sim;470;08/06/2012;08/06/2012
156;Sim;471;08/06/2012;08/06/2012
159;Não;;;
162;Não;;;
163;Não;;;
166;Não;;;
172;Sim;870;23/07/2014;23/07/2014
174;Sim;874;23/07/2014;23/07/2014
270;Sim;907;25/11/2013;25/11/2013
271;Sim;908;13/01/2015;13/01/2015
272;Sim;369;13/01/2015;13/01/2015
273;Sim;731;13/01/2015;13/01/2015
274;Sim;732;08/09/2014;08/09/2014
275;Sim;988;13/01/2015;13/01/2015
276;Sim;989;13/01/2015;13/01/2015
279;Sim;70;13/01/2015;13/01/2015
280;Sim;505;13/01/2015;13/01/2015
281;Sim;506;13/01/2015;13/01/2015
282;Sim;507;13/01/2015;13/01/2015
283;Sim;698;13/01/2015;13/01/2015
284;Sim;508;23/11/2016;23/11/2016
285;Sim;909;15/01/2015;15/01/2015
286;Sim;910;13/01/2015;13/01/2015
287;Sim;699;15/01/2015;15/01/2015
288;Sim;700;15/01/2015;15/01/2015
289;Sim;701;15/01/2015;15/01/2015
291;Sim;938;13/01/2015;13/01/2015
295;Sim;890;13/01/2015;13/01/2015
296;Sim;889;13/01/2015;13/01/2015
297;Sim;1119;26/05/2015;26/05/2015
298;Não;;;
299;Não;;;
300;Sim;929;10/07/2015;10/07/2015
301;Sim;891;08/10/2019;08/10/2019
304;Sim;911;26/06/2015;26/06/2015
307;Sim;754;17/10/2009;17/10/2009
308;Sim;755;17/10/2009;17/10/2009
309;Sim;756;17/10/2009;17/10/2009
310;Sim;757;17/10/2009;17/10/2009
311;Sim;758;17/10/2009;17/10/2009
312;Sim;759;17/10/2009;17/10/2009
313;Sim;760;17/10/2009;17/10/2009
314;Sim;761;17/10/2009;17/10/2009
331;Sim;607;02/06/2015;02/06/2015
332;Sim;608;13/01/2015;13/01/2015
333;Sim;609;13/01/2015;13/01/2015
334;Sim;610;13/01/2015;13/01/2015
335;Sim;1290;19/01/2018;19/01/2018
412;Não;;;
418;Não;;;
430;Não;;;
436;Não;;;
442;Não;;;
448;Não;;;
462;Não;;;
468;Não;;;
474;Não;;;
478;Não;;;
479;Não;;;
