geocod,geodsg,dim_3_t,municip,<1 ano,ars,nuts3,aces2,0 - 4 anos,5 - 9 anos,10 - 14 anos,15 - 19 anos,20 - 24 anos,25 - 29 anos,30 - 34 anos,35 - 39 anos,40 - 44 anos,45 - 49 anos,50 - 54 anos,55 - 59 anos,60 - 64 anos,65 - 69 anos,70 - 74 anos,75 - 80 anos,81 - 84 anos,85 e mais anos,Total
1601,Arcos de Valdevez,H,Arcos de Valdevez,56,Norte,Alto Minho,ULS Alto Minho,201,309,376,421,476,407,435,531,588,654,609,637,736,807,737,629,470,404,9483
1601,Arcos de Valdevez,M,Arcos de Valdevez,54,Norte,Alto Minho,ULS Alto Minho,232,316,379,456,437,404,418,557,629,666,608,788,880,949,939,878,770,875,11235
1602,Caminha,H,Caminha,42,Norte,Alto Minho,ULS Alto Minho,213,301,345,325,366,362,351,459,510,485,498,527,587,552,501,414,283,224,7345
1602,Caminha,M,Caminha,38,Norte,Alto Minho,ULS Alto Minho,209,285,295,318,362,349,382,473,549,598,604,667,636,627,595,540,428,497,8452
1603,Melgaço,M,Melgaço,14,Norte,Alto Minho,ULS Alto Minho,62,87,120,129,140,120,120,164,204,234,255,308,391,392,429,394,356,402,4321
1603,Melgaço,H,Melgaço,12,Norte,Alto Minho,ULS Alto Minho,63,102,118,121,129,133,119,166,173,228,205,226,323,336,302,288,223,185,3452
1604,Monção,H,Monção,50,Norte,Alto Minho,ULS Alto Minho,197,289,346,350,330,376,375,451,582,541,538,548,714,682,614,502,395,280,8160
1604,Monção,M,Monção,33,Norte,Alto Minho,ULS Alto Minho,210,262,331,351,381,320,355,517,600,585,626,725,756,844,809,663,599,689,9656
1605,Paredes de Coura,H,Paredes de Coura,25,Norte,Alto Minho,ULS Alto Minho,118,141,189,206,202,179,220,257,270,317,311,297,298,286,307,209,164,148,4144
1605,Paredes de Coura,M,Paredes de Coura,25,Norte,Alto Minho,ULS Alto Minho,126,145,180,184,168,156,202,248,291,309,270,314,326,349,342,301,234,318,4488
1606,Ponte da Barca,H,Ponte da Barca,28,Norte,Alto Minho,ULS Alto Minho,118,201,208,268,304,244,251,276,371,359,375,395,360,359,322,270,235,195,5139
