"","geocod","geodsg","valor","municip","ars","nuts3","aces2","nuts1","nuts2","cod_geo_nuts2002","year","aggregation"
"1","1111601","Arcos de Valdevez",50.87,"Arcos de Valdevez","Norte","Alto Minho","ULS Alto Minho","Continente","Norte","1111601","2004","NUTSIII"
"2","1111601","Arcos de Valdevez",50.87,"Arcos de Valdevez","Norte","Alto Minho","ULS Alto Minho","Continente","Norte","1111601","2004","NUTSIII"
"3","1111602","Caminha",79.14,"Caminha","Norte","Alto Minho","ULS Alto Minho","Continente","Norte","1111602","2004","NUTSIII"
"4","1111603","Melgaço",58.47,"Melgaço","Norte","Alto Minho","ULS Alto Minho","Continente","Norte","1111603","2004","NUTSIII"
"5","1111604","Monção",58.03,"Monção","Norte","Alto Minho","ULS Alto Minho","Continente","Norte","1111604","2004","NUTSIII"
"6","1111605","Paredes de Coura",49.83,"Paredes de Coura","Norte","Alto Minho","ULS Alto Minho","Continente","Norte","1111605","2004","NUTSIII"
"7","1111606","Ponte da Barca",57.72,"Ponte da Barca","Norte","Alto Minho","ULS Alto Minho","Continente","Norte","1111606","2004","NUTSIII"
"8","1111607","Ponte de Lima",52.5,"Ponte de Lima","Norte","Alto Minho","ULS Alto Minho","Continente","Norte","1111607","2004","NUTSIII"
"9","1111608","Valença",74.21,"Valença","Norte","Alto Minho","ULS Alto Minho","Continente","Norte","1111608","2004","NUTSIII"
"10","1111609","Viana do Castelo",81.3,"Viana do Castelo","Norte","Alto Minho","ULS Alto Minho","Continente","Norte","1111609","2004","NUTSIII"
"11","1111610","Vila Nova de Cerveira",69.74,"Vila Nova de Cerveira","Norte","Alto Minho","ULS Alto Minho","Continente","Norte","1111610","2004","NUTSIII"
"12","1120301","Amares",54.55,"Amares","Norte","Cávado","ACeS Gerês/Cabreira","Continente","Norte","1120301","2004","NUTSIII"
"13","1120302","Barcelos",58.99,"Barcelos","Norte","Cávado","ACeS Barcelos/Esposende","Continente","Norte","1120302","2004","NUTSIII"
"14","1120303","Braga",98.61,"Braga","Norte","Cávado","ACeS Braga","Continente","Norte","1120303","2004","NUTSIII"
"15","1120306","Esposende",67.4,"Esposende","Norte","Cávado","ACeS Barcelos/Esposende","Continente","Norte","1120306","2004","NUTSIII"
"16","1120310","Terras de Bouro",49.36,"Terras de Bouro","Norte","Cávado","ACeS Gerês/Cabreira","Continente","Norte","1120310","2004","NUTSIII"
"17","1120313","Vila Verde",51.36,"Vila Verde","Norte","Cávado","ACeS Gerês/Cabreira","Continente","Norte","1120313","2004","NUTSIII"
"18","1190304","Cabeceiras de Basto",50.18,"Cabeceiras de Basto","Norte","Ave","ACeS Guimarães/Vizela/Terras de Basto","Continente","Norte","1150304","2004","NUTSIII"
"19","1190307","Fafe",60.76,"Fafe","Norte","Ave","ACeS Guimarães/Vizela/Terras de Basto","Continente","Norte","1130307","2004","NUTSIII"
"20","1190308","Guimarães",71.99,"Guimarães","Norte","Ave","ACeS Guimarães/Vizela/Terras de Basto","Continente","Norte","1130308","2004","NUTSIII"
"21","1191705","Mondim de Basto",50.98,"Mondim de Basto","Norte","Ave","ACeS Guimarães/Vizela/Terras de Basto","Continente","Norte","1151705","2004","NUTSIII"
"22","1190309","Póvoa de Lanhoso",56.71,"Póvoa de Lanhoso","Norte","Ave","ACeS Gerês/Cabreira","Continente","Norte","1130309","2004","NUTSIII"
"23","1190311","Vieira do Minho",50.61,"Vieira do Minho","Norte","Ave","ACeS Gerês/Cabreira","Continente","Norte","1130311","2004","NUTSIII"
"24","1190312","Vila Nova de Famalicão",73,"Vila Nova de Famalicão","Norte","Ave","ACeS Famalicão","Continente","Norte","1130312","2004","NUTSIII"
"25","1190314","Vizela",70.68,"Vizela","Norte","Ave","ACeS Guimarães/Vizela/Terras de Basto","Continente","Norte","1130314","2004","NUTSIII"
"26","11A0104","Arouca",52.41,"Arouca","Norte","Área Metropolitana do Porto","ACeS Feira/Arouca","Continente","Norte","1160104","2004","NUTSIII"
"27","11A0107","Espinho",112.16,"Espinho","Norte","Área Metropolitana do Porto","ACeS Gaia e Espinho/Gaia","Continente","Norte","1140107","2004","NUTSIII"
"28","11A1304","Gondomar",79.58,"Gondomar","Norte","Área Metropolitana do Porto","ACeS Gondomar","Continente","Norte","1141304","2004","NUTSIII"
"29","11A1306","Maia",105.75,"Maia","Norte","Área Metropolitana do Porto","ACeS Maia/Valongo","Continente","Norte","1141306","2004","NUTSIII"
"30","11A1308","Matosinhos",125.86,"Matosinhos","Norte","Área Metropolitana do Porto","ULS Matosinhos","Continente","Norte","1141308","2004","NUTSIII"
"31","11A0113","Oliveira de Azeméis",71.74,"Oliveira de Azeméis","Norte","Área Metropolitana do Porto","ACeS Aveiro Norte","Continente","Norte","1160113","2004","NUTSIII"
"32","11A1310","Paredes",53.27,"Paredes","Norte","Área Metropolitana do Porto","ACeS Vale do Sousa Sul","Continente","Norte","1151310","2004","NUTSIII"
"33","11A1312","Porto",198.48,"Porto","Norte","Área Metropolitana do Porto","ACeS Porto Ocidental e Porto Oriental","Continente","Norte","1141312","2004","NUTSIII"
"34","11A1313","Póvoa de Varzim",83.57,"Póvoa de Varzim","Norte","Área Metropolitana do Porto","ACeS Póvoa de Varzim/Vila do Conde","Continente","Norte","1141313","2004","NUTSIII"
"35","11A0109","Santa Maria da Feira",69.51,"Santa Maria da Feira","Norte","Área Metropolitana do Porto","ACeS Feira/Arouca","Continente","Norte","1160109","2004","NUTSIII"
"36","11A1314","Santo Tirso",71.24,"Santo Tirso","Norte","Área Metropolitana do Porto","ACeS Santo Tirso/Trofa","Continente","Norte","1131314","2004","NUTSIII"
"37","11A0116","São João da Madeira",120.12,"São João da Madeira","Norte","Área Metropolitana do Porto","ACeS Aveiro Norte","Continente","Norte","1160116","2004","NUTSIII"
"38","11A1318","Trofa",71.88,"Trofa","Norte","Área Metropolitana do Porto","ACeS Santo Tirso/Trofa","Continente","Norte","1131318","2004","NUTSIII"
"39","11A0119","Vale de Cambra",68.01,"Vale de Cambra","Norte","Área Metropolitana do Porto","ACeS Aveiro Norte","Continente","Norte","1160119","2004","NUTSIII"
"40","11A1315","Valongo",93.69,"Valongo","Norte","Área Metropolitana do Porto","ACeS Maia/Valongo","Continente","Norte","1141315","2004","NUTSIII"
"41","11A1316","Vila do Conde",75.59,"Vila do Conde","Norte","Área Metropolitana do Porto","ACeS Póvoa de Varzim/Vila do Conde","Continente","Norte","1141316","2004","NUTSIII"
"42","11A1317","Vila Nova de Gaia",95.11,"Vila Nova de Gaia","Norte","Área Metropolitana do Porto","ACeS Gaia e Espinho/Gaia","Continente","Norte","1141317","2004","NUTSIII"
"43","11B1702","Boticas",46.56,"Boticas","Norte","Alto Tâmega","ACeS Alto Tâmega e Barroso","Continente","Norte","1181702","2004","NUTSIII"
"44","11B1703","Chaves",73.45,"Chaves","Norte","Alto Tâmega","ACeS Alto Tâmega e Barroso","Continente","Norte","1181703","2004","NUTSIII"
"45","11B1706","Montalegre",49.61,"Montalegre","Norte","Alto Tâmega","ACeS Alto Tâmega e Barroso","Continente","Norte","1181706","2004","NUTSIII"
"46","11B1709","Ribeira de Pena",43.78,"Ribeira de Pena","Norte","Alto Tâmega","ACeS Alto Tâmega e Barroso","Continente","Norte","1151709","2004","NUTSIII"
"47","11B1712","Valpaços",49.76,"Valpaços","Norte","Alto Tâmega","ACeS Alto Tâmega e Barroso","Continente","Norte","1181712","2004","NUTSIII"
