geocod,geodsg,valor,municip,ars,nuts3,aces2,nuts1,nuts2,cod_geo_nuts2002
1111601,Arcos de Valdevez,52.49,Arcos de Valdevez,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111601
1111601,Arcos de Valdevez,52.49,Arcos de Valdevez,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111601
1111602,Caminha,76.86,Caminha,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111602
1111603,Melgaço,57.92,Melgaço,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111603
1111604,Monção,61.6,Monção,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111604
1111605,Paredes de Coura,55.42,Paredes de Coura,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111605
1111606,Ponte da Barca,53.51,Ponte da Barca,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111606
1111607,Ponte de Lima,58.4,Ponte de Lima,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111607
1111608,Valença,74.11,Valença,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111608
1111609,Viana do Castelo,87.45,Viana do Castelo,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111609
1111610,Vila Nova de Cerveira,70.23,Vila Nova de Cerveira,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111610
1120301,Amares,59.11,Amares,Norte,Cávado,ACeS Gerês/Cabreira,Continente,Norte,1120301
1120302,Barcelos,67.05,Barcelos,Norte,Cávado,ACeS Barcelos/Esposende,Continente,Norte,1120302
1120303,Braga,105.83,Braga,Norte,Cávado,ACeS Braga,Continente,Norte,1120303
1120306,Esposende,79.57,Esposende,Norte,Cávado,ACeS Barcelos/Esposende,Continente,Norte,1120306
1120310,Terras de Bouro,47.36,Terras de Bouro,Norte,Cávado,ACeS Gerês/Cabreira,Continente,Norte,1120310
1120313,Vila Verde,56.01,Vila Verde,Norte,Cávado,ACeS Gerês/Cabreira,Continente,Norte,1120313
1190304,Cabeceiras de Basto,52.88,Cabeceiras de Basto,Norte,Ave,ACeS Guimarães/Vizela/Terras de Basto,Continente,Norte,1150304
1190307,Fafe,64.24,Fafe,Norte,Ave,ACeS Guimarães/Vizela/Terras de Basto,Continente,Norte,1130307
1190308,Guimarães,77.5,Guimarães,Norte,Ave,ACeS Guimarães/Vizela/Terras de Basto,Continente,Norte,1130308
1191705,Mondim de Basto,50.31,Mondim de Basto,Norte,Ave,ACeS Guimarães/Vizela/Terras de Basto,Continente,Norte,1151705
1190309,Póvoa de Lanhoso,59.38,Póvoa de Lanhoso,Norte,Ave,ACeS Gerês/Cabreira,Continente,Norte,1130309
1190311,Vieira do Minho,52.95,Vieira do Minho,Norte,Ave,ACeS Gerês/Cabreira,Continente,Norte,1130311
1190312,Vila Nova de Famalicão,81.55,Vila Nova de Famalicão,Norte,Ave,ACeS Famalicão,Continente,Norte,1130312
1190314,Vizela,69.34,Vizela,Norte,Ave,ACeS Guimarães/Vizela/Terras de Basto,Continente,Norte,1130314
11A0104,Arouca,53.63,Arouca,Norte,Área Metropolitana do Porto,ACeS Feira/Arouca,Continente,Norte,1160104
11A0107,Espinho,108.03,Espinho,Norte,Área Metropolitana do Porto,ACeS Gaia e Espinho/Gaia,Continente,Norte,1140107
11A1304,Gondomar,87.48,Gondomar,Norte,Área Metropolitana do Porto,ACeS Gondomar,Continente,Norte,1141304
11A1306,Maia,114.57,Maia,Norte,Área Metropolitana do Porto,ACeS Maia/Valongo,Continente,Norte,1141306
11A1308,Matosinhos,121.19,Matosinhos,Norte,Área Metropolitana do Porto,ULS Matosinhos,Continente,Norte,1141308
11A0113,Oliveira de Azeméis,75.01,Oliveira de Azeméis,Norte,Área Metropolitana do Porto,ACeS Aveiro Norte,Continente,Norte,1160113
11A1310,Paredes,66.23,Paredes,Norte,Área Metropolitana do Porto,ACeS Vale do Sousa Sul,Continente,Norte,1151310
11A1312,Porto,164.26,Porto,Norte,Área Metropolitana do Porto,ACeS Porto Ocidental e Porto Oriental,Continente,Norte,1141312
11A1313,Póvoa de Varzim,86.21,Póvoa de Varzim,Norte,Área Metropolitana do Porto,ACeS Póvoa de Varzim/Vila do Conde,Continente,Norte,1141313
11A0109,Santa Maria da Feira,81.49,Santa Maria da Feira,Norte,Área Metropolitana do Porto,ACeS Feira/Arouca,Continente,Norte,1160109
11A1314,Santo Tirso,73.47,Santo Tirso,Norte,Área Metropolitana do Porto,ACeS Santo Tirso/Trofa,Continente,Norte,1131314
11A0116,São João da Madeira,115.71,São João da Madeira,Norte,Área Metropolitana do Porto,ACeS Aveiro Norte,Continente,Norte,1160116
11A1318,Trofa,75.32,Trofa,Norte,Área Metropolitana do Porto,ACeS Santo Tirso/Trofa,Continente,Norte,1131318
11A0119,Vale de Cambra,74.38,Vale de Cambra,Norte,Área Metropolitana do Porto,ACeS Aveiro Norte,Continente,Norte,1160119
11A1315,Valongo,85.42,Valongo,Norte,Área Metropolitana do Porto,ACeS Maia/Valongo,Continente,Norte,1141315
11A1316,Vila do Conde,86.7,Vila do Conde,Norte,Área Metropolitana do Porto,ACeS Póvoa de Varzim/Vila do Conde,Continente,Norte,1141316
11A1317,Vila Nova de Gaia,97.32,Vila Nova de Gaia,Norte,Área Metropolitana do Porto,ACeS Gaia e Espinho/Gaia,Continente,Norte,1141317
11B1702,Boticas,51.03,Boticas,Norte,Alto Tâmega,ACeS Alto Tâmega e Barroso,Continente,Norte,1181702
11B1703,Chaves,74.55,Chaves,Norte,Alto Tâmega,ACeS Alto Tâmega e Barroso,Continente,Norte,1181703
11B1706,Montalegre,50.97,Montalegre,Norte,Alto Tâmega,ACeS Alto Tâmega e Barroso,Continente,Norte,1181706
11B1709,Ribeira de Pena,48.23,Ribeira de Pena,Norte,Alto Tâmega,ACeS Alto Tâmega e Barroso,Continente,Norte,1151709
11B1712,Valpaços,51.63,Valpaços,Norte,Alto Tâmega,ACeS Alto Tâmega e Barroso,Continente,Norte,1181712
11B1713,Vila Pouca de Aguiar,54.8,Vila Pouca de Aguiar,Norte,Alto Tâmega,ACeS Alto Tâmega e Barroso,Continente,Norte,1181713
11C1301,Amarante,60.97,Amarante,Norte,Tâmega e Sousa,ACeS Baixo Tâmega,Continente,Norte,1151301
11C1302,Baião,49.26,Baião,Norte,Tâmega e Sousa,ACeS Baixo Tâmega,Continente,Norte,1151302
11C0106,Castelo de Paiva,56.2,Castelo de Paiva,Norte,Tâmega e Sousa,ACeS Vale do Sousa Sul,Continente,Norte,1150106
11C0305,Celorico de Basto,48.5,Celorico de Basto,Norte,Tâmega e Sousa,ACeS Baixo Tâmega,Continente,Norte,1150305
11C1804,Cinfães,48.29,Cinfães,Norte,Tâmega e Sousa,ACeS Baixo Tâmega,Continente,Norte,1151804
11C1303,Felgueiras,80.86,Felgueiras,Norte,Tâmega e Sousa,ACeS Vale do Sousa Norte,Continente,Norte,1151303
11C1305,Lousada,58,Lousada,Norte,Tâmega e Sousa,ACeS Vale do Sousa Norte,Continente,Norte,1151305
11C1307,Marco de Canaveses,60.2,Marco de Canaveses,Norte,Tâmega e Sousa,ACeS Baixo Tâmega,Continente,Norte,1151307
11C1309,Paços de Ferreira,62.88,Paços de Ferreira,Norte,Tâmega e Sousa,ACeS Vale do Sousa Norte,Continente,Norte,1151309
11C1311,Penafiel,62.68,Penafiel,Norte,Tâmega e Sousa,ACeS Vale do Sousa Sul,Continente,Norte,1151311
11C1813,Resende,47.25,Resende,Norte,Tâmega e Sousa,ACeS Baixo Tâmega,Continente,Norte,1151813
11D1701,Alijó,50.96,Alijó,Norte,Douro,ACeS Marão e Douro Norte,Continente,Norte,1171701
11D1801,Armamar,49.21,Armamar,Norte,Douro,ACeS Douro Sul,Continente,Norte,1171801
11D0403,Carrazeda de Ansiães,48.6,Carrazeda de Ansiães,Norte,Douro,ULS Nordeste,Continente,Norte,1170403
11D0404,Freixo de Espada à Cinta,47.26,Freixo de Espada à Cinta,Norte,Douro,ULS Nordeste,Continente,Norte,1170404
11D1805,Lamego,77.77,Lamego,Norte,Douro,ACeS Douro Sul,Continente,Norte,1171805
11D1704,Mesão Frio,56.19,Mesão Frio,Norte,Douro,ACeS Marão e Douro Norte,Continente,Norte,1171704
11D1807,Moimenta da Beira,59.37,Moimenta da Beira,Norte,Douro,ACeS Douro Sul,Continente,Norte,1171807
11D1707,Murça,54.05,Murça,Norte,Douro,ACeS Marão e Douro Norte,Continente,Norte,1181707
11D1812,Penedono,50.51,Penedono,Norte,Douro,ACeS Douro Sul,Continente,Norte,1171812
11D1708,Peso da Régua,73.8,Peso da Régua,Norte,Douro,ACeS Marão e Douro Norte,Continente,Norte,1171708
11D1710,Sabrosa,52.13,Sabrosa,Norte,Douro,ACeS Marão e Douro Norte,Continente,Norte,1171710
11D1711,Santa Marta de Penaguião,51.9,Santa Marta de Penaguião,Norte,Douro,ACeS Marão e Douro Norte,Continente,Norte,1171711
11D1815,São João da Pesqueira,50.97,São João da Pesqueira,Norte,Douro,ACeS Douro Sul,Continente,Norte,1171815
11D1818,Sernancelhe,48.44,Sernancelhe,Norte,Douro,ACeS Douro Sul,Continente,Norte,1171818
11D1819,Tabuaço,49.19,Tabuaço,Norte,Douro,ACeS Douro Sul,Continente,Norte,1171819
11D1820,Tarouca,56.6,Tarouca,Norte,Douro,ACeS Douro Sul,Continente,Norte,1171820
11D0409,Torre de Moncorvo,53.18,Torre de Moncorvo,Norte,Douro,ULS Nordeste,Continente,Norte,1170409
11D0914,Vila Nova de Foz Côa,53.74,Vila Nova de Foz Côa,Centro,Douro,ULS Guarda,Continente,Norte,1170914
11D1714,Vila Real,96.09,Vila Real,Norte,Douro,ACeS Marão e Douro Norte,Continente,Norte,1171714
11E0401,Alfândega da Fé,51.75,Alfândega da Fé,Norte,Terras de Trás-os-Montes,ULS Nordeste,Continente,Norte,1180401
11E0402,Bragança,100.99,Bragança,Norte,Terras de Trás-os-Montes,ULS Nordeste,Continente,Norte,1180402
11E0405,Macedo de Cavaleiros,68.97,Macedo de Cavaleiros,Norte,Terras de Trás-os-Montes,ULS Nordeste,Continente,Norte,1180405
11E0406,Miranda do Douro,66.44,Miranda do Douro,Norte,Terras de Trás-os-Montes,ULS Nordeste,Continente,Norte,1180406
11E0407,Mirandela,73.88,Mirandela,Norte,Terras de Trás-os-Montes,ULS Nordeste,Continente,Norte,1180407
11E0408,Mogadouro,55.64,Mogadouro,Norte,Terras de Trás-os-Montes,ULS Nordeste,Continente,Norte,1180408
11E0410,Vila Flor,53.32,Vila Flor,Norte,Terras de Trás-os-Montes,ULS Nordeste,Continente,Norte,1170410
11E0411,Vimioso,60.18,Vimioso,Norte,Terras de Trás-os-Montes,ULS Nordeste,Continente,Norte,1180411
11E0412,Vinhais,48.63,Vinhais,Norte,Terras de Trás-os-Montes,ULS Nordeste,Continente,Norte,1180412
16B1001,Alcobaça,80.27,Alcobaça,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Norte,Continente,Centro,16B1001
16B1101,Alenquer,93.71,Alenquer,Lisboa e Vale do Tejo,Oeste,ACeS Estuário do Tejo,Continente,Centro,16B1101
16B1102,Arruda dos Vinhos,90,Arruda dos Vinhos,Lisboa e Vale do Tejo,Oeste,ACeS Estuário do Tejo,Continente,Centro,16B1102
16B1005,Bombarral,73.73,Bombarral,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Norte,Continente,Centro,16B1005
16B1104,Cadaval,66.45,Cadaval,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Sul,Continente,Centro,16B1104
16B1006,Caldas da Rainha,103.55,Caldas da Rainha,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Norte,Continente,Centro,16B1006
16B1108,Lourinhã,80.44,Lourinhã,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Sul,Continente,Centro,16B1108
16B1011,Nazaré,97.76,Nazaré,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Norte,Continente,Centro,16B1011
16B1012,Óbidos,76.7,Óbidos,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Norte,Continente,Centro,16B1012
16B1014,Peniche,91.7,Peniche,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Norte,Continente,Centro,16B1014
16B1112,Sobral de Monte Agraço,75.99,Sobral de Monte Agraço,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Sul,Continente,Centro,16B1112
16B1113,Torres Vedras,89.53,Torres Vedras,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Sul,Continente,Centro,16B1113
16D0101,Águeda,76.84,Águeda,Centro,Região de Aveiro,ACeS Baixo Vouga,Continente,Centro,1610101
16D0102,Albergaria-a-Velha,75.54,Albergaria-a-Velha,Centro,Região de Aveiro,ACeS Baixo Vouga,Continente,Centro,1610102
16D0103,Anadia,71.15,Anadia,Centro,Região de Aveiro,ACeS Baixo Vouga,Continente,Centro,1610103
16D0105,Aveiro,125.28,Aveiro,Centro,Região de Aveiro,ACeS Baixo Vouga,Continente,Centro,1610105
16D0108,Estarreja,73.17,Estarreja,Centro,Região de Aveiro,ACeS Baixo Vouga,Continente,Centro,1610108
16D0110,Ílhavo,90.17,Ílhavo,Centro,Região de Aveiro,ACeS Baixo Vouga,Continente,Centro,1610110
16D0112,Murtosa,69.41,Murtosa,Centro,Região de Aveiro,ACeS Baixo Vouga,Continente,Centro,1610112
16D0114,Oliveira do Bairro,77.12,Oliveira do Bairro,Centro,Região de Aveiro,ACeS Baixo Vouga,Continente,Centro,1610114
16D0115,Ovar,81.54,Ovar,Centro,Região de Aveiro,ACeS Baixo Vouga,Continente,Centro,1610115
16D0117,Sever do Vouga,62.32,Sever do Vouga,Centro,Região de Aveiro,ACeS Baixo Vouga,Continente,Centro,1610117
16D0118,Vagos,67.37,Vagos,Centro,Região de Aveiro,ACeS Baixo Vouga,Continente,Centro,1610118
16E0601,Arganil,58.87,Arganil,Centro,Região de Coimbra,ACeS Pinhal Interior Norte,Continente,Centro,1640601
16E0602,Cantanhede,71.22,Cantanhede,Centro,Região de Coimbra,ACeS Baixo Mondego,Continente,Centro,1620602
16E0603,Coimbra,137.64,Coimbra,Centro,Região de Coimbra,ACeS Baixo Mondego,Continente,Centro,1620603
16E0604,Condeixa-a-Nova,82.3,Condeixa-a-Nova,Centro,Região de Coimbra,ACeS Baixo Mondego,Continente,Centro,1620604
16E0605,Figueira da Foz,99.29,Figueira da Foz,Centro,Região de Coimbra,ACeS Baixo Mondego,Continente,Centro,1620605
