"","geocod","geodsg","valor","sinal_conv","sinal_conv_desc","municip","ars","nuts3","aces2","nuts1","nuts2","cod_geo_nuts2002","year","aggregation"
"1","1111601","Arcos de Valdevez",2.98,"","","Arcos de Valdevez","Norte","Alto Minho","ULS Alto Minho","Continente","Norte","1111601","1.º Semestre de 2018","NUTSIII"
"2","1111602","Caminha",3.71,"","","Caminha","Norte","Alto Minho","ULS Alto Minho","Continente","Norte","1111602","1.º Semestre de 2018","NUTSIII"
"3","1111603","Melgaço",NA,"-","Dado nulo ou não aplicável","Melgaço","Norte","Alto Minho","ULS Alto Minho","Continente","Norte","1111603","1.º Semestre de 2018","NUTSIII"
"4","1111604","Monção",2.99,"","","Monção","Norte","Alto Minho","ULS Alto Minho","Continente","Norte","1111604","1.º Semestre de 2018","NUTSIII"
"5","1111605","Paredes de Coura",2.51,"","","Paredes de Coura","Norte","Alto Minho","ULS Alto Minho","Continente","Norte","1111605","1.º Semestre de 2018","NUTSIII"
"6","1111606","Ponte da Barca",2.46,"","","Ponte da Barca","Norte","Alto Minho","ULS Alto Minho","Continente","Norte","1111606","1.º Semestre de 2018","NUTSIII"
"7","1111607","Ponte de Lima",3,"","","Ponte de Lima","Norte","Alto Minho","ULS Alto Minho","Continente","Norte","1111607","1.º Semestre de 2018","NUTSIII"
"8","1111608","Valença",3.05,"","","Valença","Norte","Alto Minho","ULS Alto Minho","Continente","Norte","1111608","1.º Semestre de 2018","NUTSIII"
"9","1111609","Viana do Castelo",3.78,"","","Viana do Castelo","Norte","Alto Minho","ULS Alto Minho","Continente","Norte","1111609","1.º Semestre de 2018","NUTSIII"
"10","1111610","Vila Nova de Cerveira",3.1,"","","Vila Nova de Cerveira","Norte","Alto Minho","ULS Alto Minho","Continente","Norte","1111610","1.º Semestre de 2018","NUTSIII"
"11","1120301","Amares",2.26,"","","Amares","Norte","Cávado","ACeS Gerês/Cabreira","Continente","Norte","1120301","1.º Semestre de 2018","NUTSIII"
"12","1120302","Barcelos",3.46,"","","Barcelos","Norte","Cávado","ACeS Barcelos/Esposende","Continente","Norte","1120302","1.º Semestre de 2018","NUTSIII"
"13","1120303","Braga",4.09,"","","Braga","Norte","Cávado","ACeS Braga","Continente","Norte","1120303","1.º Semestre de 2018","NUTSIII"
"14","1120306","Esposende",3.95,"","","Esposende","Norte","Cávado","ACeS Barcelos/Esposende","Continente","Norte","1120306","1.º Semestre de 2018","NUTSIII"
"15","1120310","Terras de Bouro",NA,"-","Dado nulo ou não aplicável","Terras de Bouro","Norte","Cávado","ACeS Gerês/Cabreira","Continente","Norte","1120310","1.º Semestre de 2018","NUTSIII"
"16","1120313","Vila Verde",2.52,"","","Vila Verde","Norte","Cávado","ACeS Gerês/Cabreira","Continente","Norte","1120313","1.º Semestre de 2018","NUTSIII"
"17","1190304","Cabeceiras de Basto",2.65,"","","Cabeceiras de Basto","Norte","Ave","ACeS Guimarães/Vizela/Terras de Basto","Continente","Norte","1150304","1.º Semestre de 2018","NUTSIII"
"18","1190307","Fafe",2.58,"","","Fafe","Norte","Ave","ACeS Guimarães/Vizela/Terras de Basto","Continente","Norte","1130307","1.º Semestre de 2018","NUTSIII"
"19","1190308","Guimarães",3.33,"","","Guimarães","Norte","Ave","ACeS Guimarães/Vizela/Terras de Basto","Continente","Norte","1130308","1.º Semestre de 2018","NUTSIII"
"20","1191705","Mondim de Basto",NA,"-","Dado nulo ou não aplicável","Mondim de Basto","Norte","Ave","ACeS Guimarães/Vizela/Terras de Basto","Continente","Norte","1151705","1.º Semestre de 2018","NUTSIII"
"21","1190309","Póvoa de Lanhoso",2.42,"","","Póvoa de Lanhoso","Norte","Ave","ACeS Gerês/Cabreira","Continente","Norte","1130309","1.º Semestre de 2018","NUTSIII"
"22","1190311","Vieira do Minho",NA,"-","Dado nulo ou não aplicável","Vieira do Minho","Norte","Ave","ACeS Gerês/Cabreira","Continente","Norte","1130311","1.º Semestre de 2018","NUTSIII"
"23","1190312","Vila Nova de Famalicão",3.53,"","","Vila Nova de Famalicão","Norte","Ave","ACeS Famalicão","Continente","Norte","1130312","1.º Semestre de 2018","NUTSIII"
"24","1190314","Vizela",2.69,"","","Vizela","Norte","Ave","ACeS Guimarães/Vizela/Terras de Basto","Continente","Norte","1130314","1.º Semestre de 2018","NUTSIII"
"25","11A0104","Arouca",3.21,"","","Arouca","Norte","Área Metropolitana do Porto","ACeS Feira/Arouca","Continente","Norte","1160104","1.º Semestre de 2018","NUTSIII"
"26","11A0107","Espinho",4.58,"","","Espinho","Norte","Área Metropolitana do Porto","ACeS Gaia e Espinho/Gaia","Continente","Norte","1140107","1.º Semestre de 2018","NUTSIII"
"27","11A1304","Gondomar",4.38,"","","Gondomar","Norte","Área Metropolitana do Porto","ACeS Gondomar","Continente","Norte","1141304","1.º Semestre de 2018","NUTSIII"
"28","11A1306","Maia",5,"","","Maia","Norte","Área Metropolitana do Porto","ACeS Maia/Valongo","Continente","Norte","1141306","1.º Semestre de 2018","NUTSIII"
"29","11A1308","Matosinhos",6.25,"","","Matosinhos","Norte","Área Metropolitana do Porto","ULS Matosinhos","Continente","Norte","1141308","1.º Semestre de 2018","NUTSIII"
"30","11A0113","Oliveira de Azeméis",2.97,"","","Oliveira de Azeméis","Norte","Área Metropolitana do Porto","ACeS Aveiro Norte","Continente","Norte","1160113","1.º Semestre de 2018","NUTSIII"
"31","11A1310","Paredes",2.85,"","","Paredes","Norte","Área Metropolitana do Porto","ACeS Vale do Sousa Sul","Continente","Norte","1151310","1.º Semestre de 2018","NUTSIII"
"32","11A1312","Porto",7.21,"","","Porto","Norte","Área Metropolitana do Porto","ACeS Porto Ocidental e Porto Oriental","Continente","Norte","1141312","1.º Semestre de 2018","NUTSIII"
