geocod,geodsg,valor,sinal_conv,sinal_conv_desc,municip,ars,nuts3,aces2,nuts1,nuts2,cod_geo_nuts2002
1111601,Arcos de Valdevez,2.78,,,Arcos de Valdevez,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111601
1111602,Caminha,4,,,Caminha,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111602
1111603,Melgaço,,-,Dado nulo ou não aplicável,Melgaço,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111603
1111604,Monção,3.5,,,Monção,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111604
1111605,Paredes de Coura,,-,Dado nulo ou não aplicável,Paredes de Coura,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111605
1111606,Ponte da Barca,2.83,,,Ponte da Barca,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111606
1111607,Ponte de Lima,3.28,,,Ponte de Lima,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111607
1111608,Valença,3.18,,,Valença,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111608
1111609,Viana do Castelo,4.48,,,Viana do Castelo,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111609
1111610,Vila Nova de Cerveira,3.24,,,Vila Nova de Cerveira,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111610
1120301,Amares,3.03,,,Amares,Norte,Cávado,ACeS Gerês/Cabreira,Continente,Norte,1120301
1120302,Barcelos,3.71,,,Barcelos,Norte,Cávado,ACeS Barcelos/Esposende,Continente,Norte,1120302
1120303,Braga,5.26,,,Braga,Norte,Cávado,ACeS Braga,Continente,Norte,1120303
1120306,Esposende,4.5,,,Esposende,Norte,Cávado,ACeS Barcelos/Esposende,Continente,Norte,1120306
1120310,Terras de Bouro,,-,Dado nulo ou não aplicável,Terras de Bouro,Norte,Cávado,ACeS Gerês/Cabreira,Continente,Norte,1120310
1120313,Vila Verde,3.22,,,Vila Verde,Norte,Cávado,ACeS Gerês/Cabreira,Continente,Norte,1120313
1190304,Cabeceiras de Basto,,-,Dado nulo ou não aplicável,Cabeceiras de Basto,Norte,Ave,ACeS Guimarães/Vizela/Terras de Basto,Continente,Norte,1150304
1190307,Fafe,2.78,,,Fafe,Norte,Ave,ACeS Guimarães/Vizela/Terras de Basto,Continente,Norte,1130307
1190308,Guimarães,3.77,,,Guimarães,Norte,Ave,ACeS Guimarães/Vizela/Terras de Basto,Continente,Norte,1130308
1191705,Mondim de Basto,,-,Dado nulo ou não aplicável,Mondim de Basto,Norte,Ave,ACeS Guimarães/Vizela/Terras de Basto,Continente,Norte,1151705
1190309,Póvoa de Lanhoso,2.64,,,Póvoa de Lanhoso,Norte,Ave,ACeS Gerês/Cabreira,Continente,Norte,1130309
1190311,Vieira do Minho,,-,Dado nulo ou não aplicável,Vieira do Minho,Norte,Ave,ACeS Gerês/Cabreira,Continente,Norte,1130311
1190312,Vila Nova de Famalicão,3.75,,,Vila Nova de Famalicão,Norte,Ave,ACeS Famalicão,Continente,Norte,1130312
1190314,Vizela,3.24,,,Vizela,Norte,Ave,ACeS Guimarães/Vizela/Terras de Basto,Continente,Norte,1130314
11A0104,Arouca,3.51,,,Arouca,Norte,Área Metropolitana do Porto,ACeS Feira/Arouca,Continente,Norte,1160104
11A0107,Espinho,6.06,,,Espinho,Norte,Área Metropolitana do Porto,ACeS Gaia e Espinho/Gaia,Continente,Norte,1140107
