freguesia_2013;dicofre_2013;municipio_2013;municipio_2013_cod;municipio_2002_cod;distrito_2013;distrito_2013_cod;nuts3_2013;nuts3_2013_cod;nuts3_2002_cod;nuts2_2013;nuts2_2013_cod;nuts1_2013;nuts1_2013_cod;pais;pais_cod;uls_2023;aces_2022;aces_2022_cod;ars_2022;ars_2022_cod
Santiago Maior;70103;Alandroal;1870701;1830701;Évora;7;Alentejo Central;187;183;Alentejo;18;Continente;1;Portugal;PT;ULS Alentejo Central;ACES Alentejo Central;401;Alentejo;14
Capelins (Santo António);70104;Alandroal;1870701;1830701;Évora;7;Alentejo Central;187;183;Alentejo;18;Continente;1;Portugal;PT;ULS Alentejo Central;ACES Alentejo Central;401;Alentejo;14
Terena (São Pedro);70105;Alandroal;1870701;1830701;Évora;7;Alentejo Central;187;183;Alentejo;18;Continente;1;Portugal;PT;ULS Alentejo Central;ACES Alentejo Central;401;Alentejo;14
União das freguesias de Alandroal (Nossa Senhora da Conceição), São Brás dos Matos (Mina do Bugalho) e Juromenha (Nossa Senhora do Loreto);70107;Alandroal;1870701;1830701;Évora;7;Alentejo Central;187;183;Alentejo;18;Continente;1;Portugal;PT;ULS Alentejo Central;ACES Alentejo Central;401;Alentejo;14
Arraiolos;70201;Arraiolos;1870702;1830702;Évora;7;Alentejo Central;187;183;Alentejo;18;Continente;1;Portugal;PT;ULS Alentejo Central;ACES Alentejo Central;401;Alentejo;14
Igrejinha;70202;Arraiolos;1870702;1830702;Évora;7;Alentejo Central;187;183;Alentejo;18;Continente;1;Portugal;PT;ULS Alentejo Central;ACES Alentejo Central;401;Alentejo;14
Vimieiro;70206;Arraiolos;1870702;1830702;Évora;7;Alentejo Central;187;183;Alentejo;18;Continente;1;Portugal;PT;ULS Alentejo Central;ACES Alentejo Central;401;Alentejo;14
União das freguesias de Gafanhoeira (São Pedro) e Sabugueiro;70208;Arraiolos;1870702;1830702;Évora;7;Alentejo Central;187;183;Alentejo;18;Continente;1;Portugal;PT;ULS Alentejo Central;ACES Alentejo Central;401;Alentejo;14
União das freguesias de São Gregório e Santa Justa;70209;Arraiolos;1870702;1830702;Évora;7;Alentejo Central;187;183;Alentejo;18;Continente;1;Portugal;PT;ULS Alentejo Central;ACES Alentejo Central;401;Alentejo;14
Borba (Matriz);70301;Borba;1870703;1830703;Évora;7;Alentejo Central;187;183;Alentejo;18;Continente;1;Portugal;PT;ULS Alentejo Central;ACES Alentejo Central;401;Alentejo;14
Orada;70302;Borba;1870703;1830703;Évora;7;Alentejo Central;187;183;Alentejo;18;Continente;1;Portugal;PT;ULS Alentejo Central;ACES Alentejo Central;401;Alentejo;14
Rio de Moinhos;70303;Borba;1870703;1830703;Évora;7;Alentejo Central;187;183;Alentejo;18;Continente;1;Portugal;PT;ULS Alentejo Central;ACES Alentejo Central;401;Alentejo;14
Borba (São Bartolomeu);70304;Borba;1870703;1830703;Évora;7;Alentejo Central;187;183;Alentejo;18;Continente;1;Portugal;PT;ULS Alentejo Central;ACES Alentejo Central;401;Alentejo;14
Arcos;70401;Estremoz;1870704;1830704;Évora;7;Alentejo Central;187;183;Alentejo;18;Continente;1;Portugal;PT;ULS Alentejo Central;ACES Alentejo Central;401;Alentejo;14
Glória;70402;Estremoz;1870704;1830704;Évora;7;Alentejo Central;187;183;Alentejo;18;Continente;1;Portugal;PT;ULS Alentejo Central;ACES Alentejo Central;401;Alentejo;14
Évora Monte (Santa Maria);70404;Estremoz;1870704;1830704;Évora;7;Alentejo Central;187;183;Alentejo;18;Continente;1;Portugal;PT;ULS Alentejo Central;ACES Alentejo Central;401;Alentejo;14
São Domingos de Ana Loura;70411;Estremoz;1870704;1830704;Évora;7;Alentejo Central;187;183;Alentejo;18;Continente;1;Portugal;PT;ULS Alentejo Central;ACES Alentejo Central;401;Alentejo;14
Veiros;70413;Estremoz;1870704;1830704;Évora;7;Alentejo Central;187;183;Alentejo;18;Continente;1;Portugal;PT;ULS Alentejo Central;ACES Alentejo Central;401;Alentejo;14
União das freguesias de Estremoz (Santa Maria e Santo André);70414;Estremoz;1870704;1830704;Évora;7;Alentejo Central;187;183;Alentejo;18;Continente;1;Portugal;PT;ULS Alentejo Central;ACES Alentejo Central;401;Alentejo;14
União das freguesias de São Bento do Cortiço e Santo Estêvão;70415;Estremoz;1870704;1830704;Évora;7;Alentejo Central;187;183;Alentejo;18;Continente;1;Portugal;PT;ULS Alentejo Central;ACES Alentejo Central;401;Alentejo;14
União das freguesias de São Lourenço de Mamporcão e São Bento de Ana Loura;70416;Estremoz;1870704;1830704;Évora;7;Alentejo Central;187;183;Alentejo;18;Continente;1;Portugal;PT;ULS Alentejo Central;ACES Alentejo Central;401;Alentejo;14
União das freguesias do Ameixial (Santa Vitória e São Bento);70417;Estremoz;1870704;1830704;Évora;7;Alentejo Central;187;183;Alentejo;18;Continente;1;Portugal;PT;ULS Alentejo Central;ACES Alentejo Central;401;Alentejo;14
Nossa Senhora da Graça do Divor;70502;Évora;1870705;1830705;Évora;7;Alentejo Central;187;183;Alentejo;18;Continente;1;Portugal;PT;ULS Alentejo Central;ACES Alentejo Central;401;Alentejo;14
Nossa Senhora de Machede;70503;Évora;1870705;1830705;Évora;7;Alentejo Central;187;183;Alentejo;18;Continente;1;Portugal;PT;ULS Alentejo Central;ACES Alentejo Central;401;Alentejo;14
São Bento do Mato;70506;Évora;1870705;1830705;Évora;7;Alentejo Central;187;183;Alentejo;18;Continente;1;Portugal;PT;ULS Alentejo Central;ACES Alentejo Central;401;Alentejo;14
São Miguel de Machede;70509;Évora;1870705;1830705;Évora;7;Alentejo Central;187;183;Alentejo;18;Continente;1;Portugal;PT;ULS Alentejo Central;ACES Alentejo Central;401;Alentejo;14
Torre de Coelheiros;70513;Évora;1870705;1830705;Évora;7;Alentejo Central;187;183;Alentejo;18;Continente;1;Portugal;PT;ULS Alentejo Central;ACES Alentejo Central;401;Alentejo;14
Canaviais;70515;Évora;1870705;1830705;Évora;7;Alentejo Central;187;183;Alentejo;18;Continente;1;Portugal;PT;ULS Alentejo Central;ACES Alentejo Central;401;Alentejo;14
União das freguesias de Bacelo e Senhora da Saúde;70522;Évora;1870705;1830705;Évora;7;Alentejo Central;187;183;Alentejo;18;Continente;1;Portugal;PT;ULS Alentejo Central;ACES Alentejo Central;401;Alentejo;14
União das freguesias de Évora (São Mamede, Sé, São Pedro e Santo Antão);70523;Évora;1870705;1830705;Évora;7;Alentejo Central;187;183;Alentejo;18;Continente;1;Portugal;PT;ULS Alentejo Central;ACES Alentejo Central;401;Alentejo;14
União das freguesias de Malagueira e Horta das Figueiras;70524;Évora;1870705;1830705;Évora;7;Alentejo Central;187;183;Alentejo;18;Continente;1;Portugal;PT;ULS Alentejo Central;ACES Alentejo Central;401;Alentejo;14
União das freguesias de Nossa Senhora da Tourega e Nossa Senhora de Guadalupe;70525;Évora;1870705;1830705;Évora;7;Alentejo Central;187;183;Alentejo;18;Continente;1;Portugal;PT;ULS Alentejo Central;ACES Alentejo Central;401;Alentejo;14
União das freguesias de São Manços e São Vicente do Pigeiro;70526;Évora;1870705;1830705;Évora;7;Alentejo Central;187;183;Alentejo;18;Continente;1;Portugal;PT;ULS Alentejo Central;ACES Alentejo Central;401;Alentejo;14
União das freguesias de São Sebastião da Giesteira e Nossa Senhora da Boa Fé;70527;Évora;1870705;1830705;Évora;7;Alentejo Central;187;183;Alentejo;18;Continente;1;Portugal;PT;ULS Alentejo Central;ACES Alentejo Central;401;Alentejo;14
