freguesia_2025;abreviatura_freguesia_2025;freguesia_2013;fr_2025;dicofre_2025;dicofre_2013;dicofre_2013_2;municipio_2013;dt_mun;mn_2025;municipio_2024_cod;municipio_2013_cod;municipio_2002_cod;distrito_2013;dt_2025;distrito_2013_cod;nuts3_2013;nuts3_2013_cod;nuts3_2002_cod;nuts3_2024;nuts3_2024_cod;nuts2_2013;nuts2_2013_cod;nuts2_2024;nuts2_2024_cod;nuts1_2013;nuts1_2013_cod;pais;pais_cod;uls_hierarquia_csp;uls_2024;uls_2023;aces_2022;aces_2022_cod;ars_2022;ars_2022_cod;regiao_2024
S. Tiago dos Velhos;S. Tiago dos Velhos;São Tiago dos Velhos;04;110204;110204;16B110204;Arruda dos Vinhos;1102;02;1D11102;16B1102;;Lisboa;11;11;Oeste;16B;;Oeste;1D1;Centro;16;Oeste e Vale do Tejo;1D;Continente;1;Portugal;PT;ULS Estuário do Tejo;ULS do Estuário do Tejo;ULS do Estuário do Tejo;ACES Estuário do Tejo;308;Lisboa e Vale do Tejo;13;Lisboa e Vale do Tejo
Freguesia de Fail e Vila Chã de Sá;Fail e Vila Chã de Sá;União das freguesias de Faíl e Vila Chã de Sá;38;182338;182338;16G182338;Viseu;1823;23;1941823;16G1823;1651823;Viseu;18;18;Viseu Dão Lafões;16G;165;Viseu Dão Lafões;194;Centro;16;Centro;19;Continente;1;Portugal;PT;ULS Viseu Dão-Lafões;ULS de Viseu Dão-Lafões;ULS de Viseu Dão-Lafões;ACES Dão Lafões;206;Centro;12;Centro
Aguada de Cima;Aguada de Cima;Aguada de Cima;03;010103;010103;16D010103;Águeda;0101;01;1910101;16D0101;1610101;Aveiro;01;1;Região de Aveiro;16D;161;Região de Aveiro;191;Centro;16;Centro;19;Continente;1;Portugal;PT;ULS Região de Aveiro;ULS da Região de Aveiro;ULS da Região de Aveiro;ACES Baixo Vouga;201;Centro;12;Centro
Fermentelos;Fermentelos;Fermentelos;09;010109;010109;16D010109;Águeda;0101;01;1910101;16D0101;1610101;Aveiro;01;1;Região de Aveiro;16D;161;Região de Aveiro;191;Centro;16;Centro;19;Continente;1;Portugal;PT;ULS Região de Aveiro;ULS da Região de Aveiro;ULS da Região de Aveiro;ACES Baixo Vouga;201;Centro;12;Centro
Macinhata do Vouga;Macinhata do Vouga;Macinhata do Vouga;12;010112;010112;16D010112;Águeda;0101;01;1910101;16D0101;1610101;Aveiro;01;1;Região de Aveiro;16D;161;Região de Aveiro;191;Centro;16;Centro;19;Continente;1;Portugal;PT;ULS Região de Aveiro;ULS da Região de Aveiro;ULS da Região de Aveiro;ACES Baixo Vouga;201;Centro;12;Centro
Valongo do Vouga;Valongo do Vouga;Valongo do Vouga;19;010119;010119;16D010119;Águeda;0101;01;1910101;16D0101;1610101;Aveiro;01;1;Região de Aveiro;16D;161;Região de Aveiro;191;Centro;16;Centro;19;Continente;1;Portugal;PT;ULS Região de Aveiro;ULS da Região de Aveiro;ULS da Região de Aveiro;ACES Baixo Vouga;201;Centro;12;Centro
União das freguesias de Recardães e Espinhel;Recardães e Espinhel;União das freguesias de Recardães e Espinhel;24;010124;010124;16D010124;Águeda;0101;01;1910101;16D0101;1610101;Aveiro;01;1;Região de Aveiro;16D;161;Região de Aveiro;191;Centro;16;Centro;19;Continente;1;Portugal;PT;ULS Região de Aveiro;ULS da Região de Aveiro;ULS da Região de Aveiro;ACES Baixo Vouga;201;Centro;12;Centro
União das freguesias de Travassô e Óis da Ribeira;Travassô e Óis da Ribeira;União das freguesias de Travassô e Óis da Ribeira;25;010125;010125;16D010125;Águeda;0101;01;1910101;16D0101;1610101;Aveiro;01;1;Região de Aveiro;16D;161;Região de Aveiro;191;Centro;16;Centro;19;Continente;1;Portugal;PT;ULS Região de Aveiro;ULS da Região de Aveiro;ULS da Região de Aveiro;ACES Baixo Vouga;201;Centro;12;Centro
União das freguesias de Trofa, Segadães e Lamas do Vouga;Trofa, Segadães e Lamas do Vouga;União das freguesias de Trofa, Segadães e Lamas do Vouga;26;010126;010126;16D010126;Águeda;0101;01;1910101;16D0101;1610101;Aveiro;01;1;Região de Aveiro;16D;161;Região de Aveiro;191;Centro;16;Centro;19;Continente;1;Portugal;PT;ULS Região de Aveiro;ULS da Região de Aveiro;ULS da Região de Aveiro;ACES Baixo Vouga;201;Centro;12;Centro
União das freguesias do Préstimo e Macieira de Alcoba;Préstimo e Macieira de Alcoba;União das freguesias do Préstimo e Macieira de Alcoba;27;010127;010127;16D010127;Águeda;0101;01;1910101;16D0101;1610101;Aveiro;01;1;Região de Aveiro;16D;161;Região de Aveiro;191;Centro;16;Centro;19;Continente;1;Portugal;PT;ULS Região de Aveiro;ULS da Região de Aveiro;ULS da Região de Aveiro;ACES Baixo Vouga;201;Centro;12;Centro
