geocod,geodsg,dim_3_t,85 e mais anos,0 - 4 anos,20 - 24 anos,25 - 29 anos,15 - 19 anos,40 - 44 anos,5 - 9 anos,70 - 74 anos,45 - 49 anos,56 - 59 anos,10 - 14 anos,35 - 39 anos,60 - 65 anos,50 - 55 anos,65 - 69 anos,Total,30 - 34 anos,81 - 85 anos,75 - 80 anos,<1 ano,cod_geo,nivel_geo,cod_dicofre11,dicofre11_2,cod_nuts3,nuts3,cod_nuts2,nuts2,cod_nuts1,nuts1,cod_pais,pais,cod_tot,tot,cod_geo_nuts2002,cod_aces,aces1,aces2,cod_ars,ars
1601,Arcos de Valdevez,H,404,201,476,407,421,588,309,737,654,637,376,531,736,609,807,9483,435,470,629,56,1111601,4,'1601,1601,111,Alto Minho,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1111601,123,ALTO MINHO,ULS Alto Minho,11,Norte
1601,Arcos de Valdevez,M,875,232,437,404,456,629,316,939,666,788,379,557,880,608,949,11235,418,770,878,54,1111601,4,'1601,1601,111,Alto Minho,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1111601,123,ALTO MINHO,ULS Alto Minho,11,Norte
1601,Arcos de Valdevez,HM,1279,433,913,811,877,1217,625,1676,1320,1425,755,1088,1616,1217,1756,20718,853,1240,1507,110,1111601,4,'1601,1601,111,Alto Minho,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1111601,123,ALTO MINHO,ULS Alto Minho,11,Norte
1602,Caminha,HM,721,422,728,711,643,1059,586,1096,1083,1194,640,932,1223,1102,1179,15797,733,711,954,80,1111602,4,'1602,1602,111,Alto Minho,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1111602,123,ALTO MINHO,ULS Alto Minho,11,Norte
1602,Caminha,H,224,213,366,362,325,510,301,501,485,527,345,459,587,498,552,7345,351,283,414,42,1111602,4,'1602,1602,111,Alto Minho,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1111602,123,ALTO MINHO,ULS Alto Minho,11,Norte
1602,Caminha,M,497,209,362,349,318,549,285,595,598,667,295,473,636,604,627,8452,382,428,540,38,1111602,4,'1602,1602,111,Alto Minho,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1111602,123,ALTO MINHO,ULS Alto Minho,11,Norte
1603,Melgaço,M,402,62,140,120,129,204,87,429,234,308,120,164,391,255,392,4321,120,356,394,14,1111603,4,'1603,1603,111,Alto Minho,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1111603,123,ALTO MINHO,ULS Alto Minho,11,Norte
1603,Melgaço,HM,587,125,269,253,250,377,189,731,462,534,238,330,714,460,728,7773,239,579,682,26,1111603,4,'1603,1603,111,Alto Minho,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1111603,123,ALTO MINHO,ULS Alto Minho,11,Norte
1603,Melgaço,H,185,63,129,133,121,173,102,302,228,226,118,166,323,205,336,3452,119,223,288,12,1111603,4,'1603,1603,111,Alto Minho,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1111603,123,ALTO MINHO,ULS Alto Minho,11,Norte
1604,Monção,H,280,197,330,376,350,582,289,614,541,548,346,451,714,538,682,8160,375,395,502,50,1111604,4,'1604,1604,111,Alto Minho,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1111604,123,ALTO MINHO,ULS Alto Minho,11,Norte
1604,Monção,M,689,210,381,320,351,600,262,809,585,725,331,517,756,626,844,9656,355,599,663,33,1111604,4,'1604,1604,111,Alto Minho,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1111604,123,ALTO MINHO,ULS Alto Minho,11,Norte
1604,Monção,HM,969,407,711,696,701,1182,551,1423,1126,1273,677,968,1470,1164,1526,17816,730,994,1165,83,1111604,4,'1604,1604,111,Alto Minho,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1111604,123,ALTO MINHO,ULS Alto Minho,11,Norte
1605,Paredes de Coura,H,148,118,202,179,206,270,141,307,317,297,189,257,298,311,286,4144,220,164,209,25,1111605,4,'1605,1605,111,Alto Minho,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1111605,123,ALTO MINHO,ULS Alto Minho,11,Norte
1605,Paredes de Coura,M,318,126,168,156,184,291,145,342,309,314,180,248,326,270,349,4488,202,234,301,25,1111605,4,'1605,1605,111,Alto Minho,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1111605,123,ALTO MINHO,ULS Alto Minho,11,Norte
1605,Paredes de Coura,HM,466,244,370,335,390,561,286,649,626,611,369,505,624,581,635,8632,422,398,510,50,1111605,4,'1605,1605,111,Alto Minho,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1111605,123,ALTO MINHO,ULS Alto Minho,11,Norte
1606,Ponte da Barca,H,195,118,304,244,268,371,201,322,359,395,208,276,360,375,359,5139,251,235,270,28,1111606,4,'1606,1606,111,Alto Minho,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1111606,123,ALTO MINHO,ULS Alto Minho,11,Norte
1606,Ponte da Barca,M,347,136,269,261,232,357,199,463,426,428,221,319,439,395,431,5905,239,318,391,34,1111606,4,'1606,1606,111,Alto Minho,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1111606,123,ALTO MINHO,ULS Alto Minho,11,Norte
1606,Ponte da Barca,HM,542,254,573,505,500,728,400,785,785,823,429,595,799,770,790,11044,490,553,661,62,1111606,4,'1606,1606,111,Alto Minho,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1111606,123,ALTO MINHO,ULS Alto Minho,11,Norte
1607,Ponte de Lima,HM,1645,1100,2339,2135,2212,2856,1560,2345,3301,3033,1929,2491,2681,3124,2489,41164,2031,1596,1994,303,1111607,4,'1607,1607,111,Alto Minho,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1111607,123,ALTO MINHO,ULS Alto Minho,11,Norte
1607,Ponte de Lima,H,515,561,1185,1069,1145,1347,819,1066,1595,1434,953,1200,1247,1496,1132,19393,1033,656,800,140,1111607,4,'1607,1607,111,Alto Minho,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1111607,123,ALTO MINHO,ULS Alto Minho,11,Norte
1607,Ponte de Lima,M,1130,539,1154,1066,1067,1509,741,1279,1706,1599,976,1291,1434,1628,1357,21771,998,940,1194,163,1111607,4,'1607,1607,111,Alto Minho,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1111607,123,ALTO MINHO,ULS Alto Minho,11,Norte
1608,Valença,HM,514,409,694,671,643,947,537,909,1036,912,607,882,927,940,931,13623,727,565,695,77,1111608,4,'1608,1608,111,Alto Minho,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1111608,123,ALTO MINHO,ULS Alto Minho,11,Norte
1608,Valença,H,168,208,361,344,323,447,275,413,494,429,327,408,429,447,431,6420,363,215,302,36,1111608,4,'1608,1608,111,Alto Minho,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1111608,123,ALTO MINHO,ULS Alto Minho,11,Norte
1608,Valença,M,346,201,333,327,320,500,262,496,542,483,280,474,498,493,500,7203,364,350,393,41,1111608,4,'1608,1608,111,Alto Minho,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1111608,123,ALTO MINHO,ULS Alto Minho,11,Norte
1609,Viana do Castelo,H,1065,1348,2317,2181,2084,2981,1690,2356,3047,2906,1911,2475,3001,2960,2760,40499,2060,1248,1811,298,1111609,4,'1609,1609,111,Alto Minho,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1111609,123,ALTO MINHO,ULS Alto Minho,11,Norte
