geocod.x,geodsg,dim_3,dim_3_t,dim_4,dim_4_t,valor,municip,ars,nuts3,aces2,nuts1,nuts2,cod_geo_nuts2002,geocod.y
2004301,Angra do Heroísmo,2,M,92,85 e mais anos,439,Angra do Heroísmo,Açores,Região Autónoma dos Açores,USI Terceira,Região Autónoma dos Açores,Região Autónoma dos Açores,2004301,2004301
1870711,Reguengos de Monsaraz,2,M,92,85 e mais anos,297,Reguengos de Monsaraz,Alentejo,Alentejo Central,ACeS Alentejo Central,Continente,Alentejo,1830711,1870711
1870708,Mourão,2,M,92,85 e mais anos,69,Mourão,Alentejo,Alentejo Central,ACeS Alentejo Central,Continente,Alentejo,1830708,1870708
1861213,Ponte de Sor,2,M,92,85 e mais anos,452,Ponte de Sor,Alentejo,Alto Alentejo,ULS Norte Alentejano,Continente,Alentejo,1821213,1861213
1861206,Crato,2,M,92,85 e mais anos,155,Crato,Alentejo,Alto Alentejo,ULS Norte Alentejano,Continente,Alentejo,1821206,1861206
1861203,Avis,2,M,92,85 e mais anos,135,Avis,Alentejo,Alto Alentejo,ULS Norte Alentejano,Continente,Alentejo,1821203,1861203
16G1817,Sátão,2,M,62,55 - 59 anos,474,Sátão,Centro,Viseu Dão Lafões,ACeS Dão Lafões,Continente,Centro,1651817,16G1817
16F1013,Pedrógão Grande,2,M,62,55 - 59 anos,118,Pedrógão Grande,Centro,Região de Leiria,ACeS Pinhal Interior Norte,Continente,Centro,1641013,16F1013
16F1004,Batalha,2,M,62,55 - 59 anos,567,Batalha,Centro,Região de Leiria,ACeS Pinhal Litoral,Continente,Centro,1631004,16F1004
16E0617,Vila Nova de Poiares,2,M,62,55 - 59 anos,243,Vila Nova de Poiares,Centro,Região de Coimbra,ACeS Pinhal Interior Norte,Continente,Centro,1640617,16E0617
16E0615,Soure,2,M,62,55 - 59 anos,654,Soure,Centro,Região de Coimbra,ACeS Baixo Mondego,Continente,Centro,1620615,16E0615
16E0613,Penacova,2,M,62,55 - 59 anos,525,Penacova,Centro,Região de Coimbra,ACeS Baixo Mondego,Continente,Centro,1620613,16E0613
16E0612,Pampilhosa da Serra,2,M,62,55 - 59 anos,120,Pampilhosa da Serra,Centro,Região de Coimbra,ACeS Pinhal Interior Norte,Continente,Centro,1640612,16E0612
1861214,Portalegre,1,H,81,70 - 74 anos,612,Portalegre,Alentejo,Alto Alentejo,ULS Norte Alentejano,Continente,Alentejo,1821214,1861214
1861202,Arronches,1,H,81,70 - 74 anos,63,Arronches,Alentejo,Alto Alentejo,ULS Norte Alentejano,Continente,Alentejo,1821202,1861202
11A1318,Trofa,2,M,22,15 - 19 anos,1123,Trofa,Norte,Área Metropolitana do Porto,ACeS Santo Tirso/Trofa,Continente,Norte,1131318,11A1318
