geocod;geodsg;dim_3;dim_3_t;dim_4;dim_4_t;valor;obs;sinal_conv;sinal_conv_desc
16E0603;Coimbra;T;Total de acidentes;3;Restantes vias;490;2017;;
16E0603;Coimbra;1;Acidentes de viação com vítimas não mortais;1;Autoestradas;8;2017;;
16E0603;Coimbra;1;Acidentes de viação com vítimas não mortais;3;Restantes vias;485;2017;;
16E0603;Coimbra;T;Total de acidentes;1;Autoestradas;9;2017;;
16E0603;Coimbra;2;Acidentes de viação com vítimas mortais;3;Restantes vias;5;2017;;
16E0603;Coimbra;T;Total de acidentes;T;Total;561;2017;;
16E0603;Coimbra;2;Acidentes de viação com vítimas mortais;1;Autoestradas;1;2017;;
16E0603;Coimbra;2;Acidentes de viação com vítimas mortais;2;Estradas nacionais;1;2017;;
16E0603;Coimbra;1;Acidentes de viação com vítimas não mortais;2;Estradas nacionais;61;2017;;
16E0603;Coimbra;1;Acidentes de viação com vítimas não mortais;T;Total;554;2017;;
16E0603;Coimbra;2;Acidentes de viação com vítimas mortais;T;Total;7;2017;;
16E0603;Coimbra;T;Total de acidentes;2;Estradas nacionais;62;2017;;
16E0603;Coimbra;T;Total de acidentes;2;Estradas nacionais;47;2018;;
16E0603;Coimbra;1;Acidentes de viação com vítimas não mortais;3;Restantes vias;471;2018;;
16E0603;Coimbra;2;Acidentes de viação com vítimas mortais;T;Total;3;2018;;
16E0603;Coimbra;2;Acidentes de viação com vítimas mortais;3;Restantes vias;3;2018;;
16E0603;Coimbra;T;Total de acidentes;3;Restantes vias;474;2018;;
16E0603;Coimbra;T;Total de acidentes;1;Autoestradas;23;2018;;
16E0603;Coimbra;2;Acidentes de viação com vítimas mortais;1;Autoestradas;0;2018;;
16E0603;Coimbra;T;Total de acidentes;T;Total;544;2018;;
16E0603;Coimbra;2;Acidentes de viação com vítimas mortais;2;Estradas nacionais;0;2018;;
16E0603;Coimbra;1;Acidentes de viação com vítimas não mortais;1;Autoestradas;23;2018;;
16E0603;Coimbra;1;Acidentes de viação com vítimas não mortais;T;Total;541;2018;;
16E0603;Coimbra;1;Acidentes de viação com vítimas não mortais;2;Estradas nacionais;47;2018;;
16E0603;Coimbra;T;Total de acidentes;3;Restantes vias;541;2019;;
16E0603;Coimbra;T;Total de acidentes;T;Total;620;2019;;
16E0603;Coimbra;1;Acidentes de viação com vítimas não mortais;2;Estradas nacionais;62;2019;;
16E0603;Coimbra;1;Acidentes de viação com vítimas não mortais;1;Autoestradas;17;2019;;
