geocod,geodsg,dim_3,dim_3_t,dim_4,dim_4_t,valor
1120306,Esposende,2,M,31,20 - 24 anos,1081
1120303,Braga,2,M,31,20 - 24 anos,5447
1111607,Ponte de Lima,2,M,31,20 - 24 anos,1315
3003104,Machico,1,H,31,20 - 24 anos,720
2004302,Vila da Praia da Vitória,1,H,31,20 - 24 anos,894
1500816,Vila Real de Santo António,1,H,31,20 - 24 anos,483
1500811,Portimão,1,H,31,20 - 24 anos,1465
1500807,Lagos,1,H,31,20 - 24 anos,860
1500804,Castro Marim,1,H,31,20 - 24 anos,195
11A1316,Vila do Conde,2,M,92,85 e mais anos,925
11A0119,Vale de Cambra,2,M,92,85 e mais anos,406
11A0113,Oliveira de Azeméis,2,M,92,85 e mais anos,812
1190314,Vizela,2,M,92,85 e mais anos,163
1120302,Barcelos,2,M,92,85 e mais anos,1321
1120301,Amares,2,M,92,85 e mais anos,271
2004302,Vila da Praia da Vitória,1,H,92,85 e mais anos,76
2004203,Ponta Delgada,1,H,92,85 e mais anos,176
186,Alto Alentejo,T,HM,81,70 - 74 anos,6167
1851403,Almeirim,T,HM,81,70 - 74 anos,1265
1840210,Moura,T,HM,81,70 - 74 anos,756
1840205,Beja,T,HM,81,70 - 74 anos,1592
1840202,Almodôvar,T,HM,81,70 - 74 anos,457
1811513,Sines,T,HM,81,70 - 74 anos,634
1811509,Santiago do Cacém,T,HM,81,70 - 74 anos,1664
1811501,Alcácer do Sal,T,HM,81,70 - 74 anos,718
181,Alentejo Litoral,T,HM,81,70 - 74 anos,5310
11E0410,Vila Flor,1,H,71,60 - 64 anos,206
11E0402,Bragança,1,H,71,60 - 64 anos,1172
11D0914,Vila Nova de Foz Côa,1,H,71,60 - 64 anos,208
11D1812,Penedono,1,H,71,60 - 64 anos,90
11D1801,Armamar,1,H,71,60 - 64 anos,166
11D,Douro,1,H,71,60 - 64 anos,6115
11C1309,Paços de Ferreira,1,H,71,60 - 64 anos,1418
11C1305,Lousada,1,H,71,60 - 64 anos,1101
11C0305,Celorico de Basto,1,H,71,60 - 64 anos,478
11B1709,Ribeira de Pena,1,H,71,60 - 64 anos,176
11B1702,Boticas,1,H,71,60 - 64 anos,166
1190311,Vieira do Minho,1,H,71,60 - 64 anos,356
1191705,Mondim de Basto,1,H,71,60 - 64 anos,191
1120302,Barcelos,1,H,71,60 - 64 anos,3222
1111606,Ponte da Barca,1,H,71,60 - 64 anos,291
1111603,Melgaço,1,H,71,60 - 64 anos,210
3003109,Santana,T,HM,71,60 - 64 anos,452
2004206,Vila Franca do Campo,T,HM,71,60 - 64 anos,464
2004203,Ponta Delgada,T,HM,71,60 - 64 anos,3221
2004201,Lagoa,T,HM,71,60 - 64 anos,562
2004101,Vila do Porto,T,HM,71,60 - 64 anos,289
150,Algarve,T,HM,71,60 - 64 anos,26522
16J0911,Sabugal,2,M,T,Total,6334
16J0904,Figueira de Castelo Rodrigo,2,M,T,Total,3161
16J0903,Celorico da Beira,2,M,T,Total,3944
16G1822,Vila Nova de Paiva,2,M,T,Total,2659
16G1802,Carregal do Sal,2,M,T,Total,5071
16F1008,Figueiró dos Vinhos,2,M,51,40 - 44 anos,187
16E0617,Vila Nova de Poiares,2,M,51,40 - 44 anos,308
16E0616,Tábua,2,M,51,40 - 44 anos,436
16D0108,Estarreja,2,M,51,40 - 44 anos,1005
16D0101,Águeda,2,M,51,40 - 44 anos,1895
16B1113,Torres Vedras,2,M,51,40 - 44 anos,3244
16B1012,Óbidos,2,M,51,40 - 44 anos,430
16B1006,Caldas da Rainha,2,M,51,40 - 44 anos,2049
11E0408,Mogadouro,2,M,51,40 - 44 anos,255
11E0405,Macedo de Cavaleiros,2,M,51,40 - 44 anos,476
11E0401,Alfândega da Fé,2,M,51,40 - 44 anos,144
11D1818,Sernancelhe,2,M,51,40 - 44 anos,151
11D1707,Murça,2,M,51,40 - 44 anos,178
11D1807,Moimenta da Beira,2,M,51,40 - 44 anos,315
16J0902,Almeida,T,HM,81,70 - 74 anos,456
16J,Beiras e Serra da Estrela,T,HM,81,70 - 74 anos,13039
16I1421,Ourém,T,HM,81,70 - 74 anos,2268
16H0502,Castelo Branco,T,HM,81,70 - 74 anos,2841
16E0611,Oliveira do Hospital,T,HM,81,70 - 74 anos,1128
16E1808,Mortágua,T,HM,81,70 - 74 anos,623
16E,Região de Coimbra,T,HM,81,70 - 74 anos,24030
16D0112,Murtosa,T,HM,81,70 - 74 anos,496
16D0101,Águeda,T,HM,81,70 - 74 anos,2301
16B1113,Torres Vedras,T,HM,81,70 - 74 anos,3915
16B1011,Nazaré,T,HM,81,70 - 74 anos,759
16B1101,Alenquer,T,HM,81,70 - 74 anos,1800
11E0402,Bragança,T,HM,81,70 - 74 anos,1829
11E,Terras de Trás-os-Montes,T,HM,81,70 - 74 anos,7157
11D1820,Tarouca,T,HM,81,70 - 74 anos,353
11C0305,Celorico de Basto,T,HM,81,70 - 74 anos,747
11B1709,Ribeira de Pena,T,HM,81,70 - 74 anos,328
11B1706,Montalegre,T,HM,81,70 - 74 anos,681
11A1310,Paredes,T,HM,81,70 - 74 anos,2643
2004401,Santa Cruz da Graciosa,1,H,61,50 - 54 anos,167
2004302,Vila da Praia da Vitória,1,H,61,50 - 54 anos,849
2004301,Angra do Heroísmo,1,H,61,50 - 54 anos,1279
1500816,Vila Real de Santo António,1,H,61,50 - 54 anos,621
1701503,Almada,T,HM,91,80 - 84 anos,5619
16F1007,Castanheira de Pêra,2,M,T,Total,1569
16F1004,Batalha,2,M,T,Total,8241
