geocod,geodsg,dim_3,dim_3_t,dim_4,dim_4_t,valor
1701107,Loures,2,M,31,20 - 24 anos,5421
1701109,Mafra,2,M,31,20 - 24 anos,2380
1111604,Monção,2,M,21,10 - 14 anos,327
2004101,Vila do Porto,2,M,92,85 e mais anos,90
2004502,Velas,2,M,92,85 e mais anos,97
2004603,São Roque do Pico,2,M,92,85 e mais anos,87
11D1820,Tarouca,T,HM,11,0 - 4 anos,250
11E0405,Macedo de Cavaleiros,T,HM,11,0 - 4 anos,381
11E0406,Miranda do Douro,T,HM,11,0 - 4 anos,144
11E0408,Mogadouro,T,HM,11,0 - 4 anos,196
1500806,Lagoa,T,HM,11,0 - 4 anos,1071
1500809,Monchique,T,HM,12,5 - 9 anos,195
1500811,Portimão,T,HM,12,5 - 9 anos,2930
1500816,Vila Real de Santo António,T,HM,12,5 - 9 anos,832
16E0614,Penela,2,M,91,80 - 84 anos,168
16G1802,Carregal do Sal,2,M,91,80 - 84 anos,281
3003103,Funchal,2,M,92,85 e mais anos,2147
1111602,Caminha,T,HM,11,0 - 4 anos,556
1500812,São Brás de Alportel,T,HM,11,0 - 4 anos,488
16B1012,Óbidos,T,HM,11,0 - 4 anos,517
16B1102,Arruda dos Vinhos,T,HM,11,0 - 4 anos,688
16B1104,Cadaval,T,HM,11,0 - 4 anos,471
11D1805,Lamego,T,HM,12,5 - 9 anos,827
11D1812,Penedono,T,HM,12,5 - 9 anos,78
11D1818,Sernancelhe,T,HM,12,5 - 9 anos,163
11D1820,Tarouca,T,HM,12,5 - 9 anos,300
11E0402,Bragança,T,HM,12,5 - 9 anos,1204
16G1824,Vouzela,2,M,91,80 - 84 anos,296
1111605,Paredes de Coura,T,HM,11,0 - 4 anos,278
1111607,Ponte de Lima,T,HM,11,0 - 4 anos,1457
1120306,Esposende,T,HM,11,0 - 4 anos,1554
1190307,Fafe,T,HM,11,0 - 4 anos,1734
2004203,Ponta Delgada,1,H,61,50 - 54 anos,2474
1861213,Ponte de Sor,1,H,62,55 - 59 anos,541
11A1310,Paredes,1,H,52,45 - 49 anos,3497
1120301,Amares,1,H,61,50 - 54 anos,695
1701511,Sesimbra,1,H,92,85 e mais anos,536
1811501,Alcácer do Sal,1,H,92,85 e mais anos,192
1811509,Santiago do Cacém,1,H,92,85 e mais anos,485
16J0906,Gouveia,2,M,11,0 - 4 anos,142
16J0911,Sabugal,2,M,11,0 - 4 anos,136
2004401,Santa Cruz da Graciosa,1,H,82,75 - 79 anos,65
1861203,Avis,1,H,91,80 - 84 anos,88
1861207,Elvas,1,H,91,80 - 84 anos,274
1861210,Marvão,1,H,91,80 - 84 anos,41
1851405,Benavente,1,H,92,85 e mais anos,300
1811509,Santiago do Cacém,2,M,11,0 - 4 anos,542
3003106,Porto Moniz,1,H,82,75 - 79 anos,50
3003201,Porto Santo,1,H,82,75 - 79 anos,78
1870713,Viana do Alentejo,1,H,91,80 - 84 anos,87
11D1711,Santa Marta de Penaguião,T,HM,52,45 - 49 anos,449
11D1812,Penedono,T,HM,52,45 - 49 anos,188
11B1709,Ribeira de Pena,T,HM,61,50 - 54 anos,391
1120302,Barcelos,T,HM,62,55 - 59 anos,9074
1111605,Paredes de Coura,T,HM,71,60 - 64 anos,626
1120301,Amares,T,HM,71,60 - 64 anos,1314
1120303,Braga,T,HM,71,60 - 64 anos,13296
1120306,Esposende,T,HM,71,60 - 64 anos,2453
11E0402,Bragança,T,HM,52,45 - 49 anos,2563
11C1301,Amarante,T,HM,61,50 - 54 anos,4063
11C1302,Baião,T,HM,61,50 - 54 anos,1374
11D1701,Alijó,T,HM,61,50 - 54 anos,709
11A0109,Santa Maria da Feira,T,HM,62,55 - 59 anos,11041
1190308,Guimarães,T,HM,71,60 - 64 anos,11659
11A0104,Arouca,T,HM,71,60 - 64 anos,1605
11D1805,Lamego,T,HM,61,50 - 54 anos,1903
11E0407,Mirandela,T,HM,61,50 - 54 anos,1517
11B1712,Valpaços,T,HM,62,55 - 59 anos,1096
11C0305,Celorico de Basto,T,HM,62,55 - 59 anos,1383
11C1307,Marco de Canaveses,T,HM,62,55 - 59 anos,4065
11A1317,Vila Nova de Gaia,T,HM,71,60 - 64 anos,21996
16B1101,Alenquer,T,HM,52,45 - 49 anos,3955
11C0106,Castelo de Paiva,1,H,92,85 e mais anos,167
1120313,Vila Verde,2,M,11,0 - 4 anos,940
1111609,Viana do Castelo,2,M,12,5 - 9 anos,1638
1190308,Guimarães,2,M,12,5 - 9 anos,3023
1190314,Vizela,2,M,12,5 - 9 anos,463
1191705,Mondim de Basto,2,M,12,5 - 9 anos,85
11D1818,Sernancelhe,1,H,91,80 - 84 anos,128
11E0411,Vimioso,1,H,91,80 - 84 anos,140
16G1809,Nelas,2,M,81,70 - 74 anos,501
16G1803,Castro Daire,2,M,82,75 - 79 anos,488
16G1806,Mangualde,2,M,82,75 - 79 anos,638
1701511,Sesimbra,2,M,71,60 - 64 anos,1783
1811509,Santiago do Cacém,2,M,71,60 - 64 anos,1199
1840214,Vidigueira,1,H,21,10 - 14 anos,123
1811505,Grândola,1,H,22,15 - 19 anos,334
1840203,Alvito,1,H,22,15 - 19 anos,42
1840206,Castro Verde,1,H,22,15 - 19 anos,155
2004101,Vila do Porto,1,H,12,5 - 9 anos,135
11E0410,Vila Flor,1,H,71,60 - 64 anos,234
11E0412,Vinhais,1,H,71,60 - 64 anos,324
1500803,Aljezur,1,H,71,60 - 64 anos,246
1500804,Castro Marim,1,H,71,60 - 64 anos,251
1500805,Faro,1,H,71,60 - 64 anos,2065
11A1316,Vila do Conde,1,H,72,65 - 69 anos,2319
11B1709,Ribeira de Pena,1,H,72,65 - 69 anos,277
11C0106,Castelo de Paiva,1,H,72,65 - 69 anos,496
11C1301,Amarante,1,H,72,65 - 69 anos,1752
1701512,Setúbal,1,H,72,65 - 69 anos,3472
16H,Beira Baixa,1,H,52,45 - 49 anos,2638
181,Alentejo Litoral,1,H,52,45 - 49 anos,3968
11D,Douro,1,H,61,50 - 54 anos,6534
112,Cávado,1,H,62,55 - 59 anos,14840
16B,Oeste,1,H,62,55 - 59 anos,12476
16I,Médio Tejo,2,M,12,5 - 9 anos,4164
119,Ave,2,M,21,10 - 14 anos,9020
11C,Tâmega e Sousa,2,M,21,10 - 14 anos,9603
16B1102,Arruda dos Vinhos,1,H,11,0 - 4 anos,374
16B1108,Lourinhã,1,H,11,0 - 4 anos,590
1701506,Moita,1,H,11,0 - 4 anos,1729
1701511,Sesimbra,1,H,11,0 - 4 anos,1270
1840204,Barrancos,1,H,11,0 - 4 anos,38
1840205,Beja,1,H,11,0 - 4 anos,799
1851406,Cartaxo,1,H,11,0 - 4 anos,466
1861201,Alter do Chão,1,H,11,0 - 4 anos,55
1861202,Arronches,1,H,11,0 - 4 anos,48
16F1004,Batalha,1,H,11,0 - 4 anos,355
16G1810,Oliveira de Frades,1,H,11,0 - 4 anos,187
16G1816,São Pedro do Sul,1,H,11,0 - 4 anos,216
16G1823,Viseu,1,H,11,0 - 4 anos,2025
16H0506,Oleiros,1,H,11,0 - 4 anos,55
16I0509,Sertã,1,H,11,0 - 4 anos,238
1500809,Monchique,1,H,81,70 - 74 anos,203
11D1701,Alijó,1,H,82,75 - 79 anos,298
11D1708,Peso da Régua,1,H,82,75 - 79 anos,305
16F1015,Pombal,1,H,71,60 - 64 anos,1850
3003108,Santa Cruz,1,H,72,65 - 69 anos,1009
3003110,São Vicente,1,H,72,65 - 69 anos,173
1500815,Vila do Bispo,1,H,81,70 - 74 anos,190
11E0405,Macedo de Cavaleiros,1,H,82,75 - 79 anos,445
11E0411,Vimioso,1,H,82,75 - 79 anos,147
1500806,Lagoa,1,H,82,75 - 79 anos,547
16H0502,Castelo Branco,1,H,71,60 - 64 anos,1790
16H0511,Vila Velha de Ródão,1,H,71,60 - 64 anos,119
16D0115,Ovar,1,H,81,70 - 74 anos,1500
16E0602,Cantanhede,1,H,81,70 - 74 anos,1142
16E0609,Miranda do Corvo,1,H,81,70 - 74 anos,359
16E0616,Tábua,1,H,82,75 - 79 anos,304
16I1418,Tomar,1,H,71,60 - 64 anos,1398
16J0904,Figueira de Castelo Rodrigo,1,H,71,60 - 64 anos,187
16J0905,Fornos de Algodres,1,H,71,60 - 64 anos,174
16J0908,Manteigas,1,H,71,60 - 64 anos,126
11B1703,Chaves,1,H,81,70 - 74 anos,1410
17,Área Metropolitana de Lisboa,1,H,51,40 - 44 anos,99648
11,Norte,1,H,52,45 - 49 anos,135642
18,Alentejo,1,H,61,50 - 54 anos,24924
17,Área Metropolitana de Lisboa,1,H,62,55 - 59 anos,86768
1870707,Mora,T,HM,51,40 - 44 anos,220
1701116,Odivelas,T,HM,61,50 - 54 anos,9994
1701510,Seixal,T,HM,61,50 - 54 anos,11879
1811501,Alcácer do Sal,T,HM,61,50 - 54 anos,686
16J0503,Covilhã,T,HM,62,55 - 59 anos,3339
16J0902,Almeida,T,HM,62,55 - 59 anos,430
16J0908,Manteigas,T,HM,62,55 - 59 anos,185
16J0909,Mêda,T,HM,62,55 - 59 anos,334
16J0910,Pinhel,T,HM,62,55 - 59 anos,593
1870712,Vendas Novas,T,HM,51,40 - 44 anos,729
1861211,Monforte,T,HM,52,45 - 49 anos,214
1840204,Barrancos,T,HM,61,50 - 54 anos,144
1840213,Serpa,T,HM,61,50 - 54 anos,1059
1840214,Vidigueira,T,HM,61,50 - 54 anos,375
16J0913,Trancoso,T,HM,62,55 - 59 anos,590
1701114,Vila Franca de Xira,T,HM,62,55 - 59 anos,9187
1701504,Barreiro,T,HM,62,55 - 59 anos,4896
3003101,Calheta,T,HM,51,40 - 44 anos,704
1870712,Vendas Novas,T,HM,52,45 - 49 anos,921
1870713,Viana do Alentejo,T,HM,52,45 - 49 anos,412
2004204,Povoação,T,HM,52,45 - 49 anos,457
1851412,Golegã,T,HM,61,50 - 54 anos,393
11A0119,Vale de Cambra,T,HM,61,50 - 54 anos,1584
1111601,Arcos de Valdevez,T,HM,62,55 - 59 anos,1292
1111603,Melgaço,T,HM,62,55 - 59 anos,514
2004801,Lajes das Flores,T,HM,62,55 - 59 anos,128
3003105,Ponta do Sol,T,HM,62,55 - 59 anos,689
3003106,Porto Moniz,T,HM,62,55 - 59 anos,209
3003201,Porto Santo,T,HM,62,55 - 59 anos,499
18,Alentejo,T,HM,91,80 - 84 anos,29594
11,Norte,T,HM,92,85 e mais anos,116209
15,Algarve,T,HM,92,85 e mais anos,15870
17,Área Metropolitana de Lisboa,T,HM,92,85 e mais anos,91534
20,Região Autónoma dos Açores,1,H,62,55 - 59 anos,8381
20,Região Autónoma dos Açores,1,H,72,65 - 69 anos,6268
30,Região Autónoma da Madeira,1,H,72,65 - 69 anos,6948
15,Algarve,1,H,82,75 - 79 anos,10547
30,Região Autónoma da Madeira,1,H,82,75 - 79 anos,3815
15,Algarve,1,H,91,80 - 84 anos,6942
15,Algarve,2,M,11,0 - 4 anos,10211
