uls_2023;dim_3_t;<1 ano;1 - 4 anos;5 - 9 anos;10 - 14 anos;15 - 19 anos;20 - 24 anos;25 - 29 anos;30 - 34 anos;35 - 39 anos;40 - 44 anos;45 - 49 anos;50 - 54 anos;55 - 59 anos;60 - 64 anos;65 - 69 anos;70 - 74 anos;75 - 80 anos;81 - 84 anos;85 e mais anos
ACES Funchal;M;345;1487;1977;2366;2735;2684;2573;2664;3490;4033;4502;4547;4964;4387;3846;3335;2625;2019;2058
ACES Funchal;H;346;1534;2027;2565;2805;2901;2548;2633;3213;3734;3999;3979;4194;3687;2997;2437;1696;1050;800
ACES Madeira Este;H;236;1149;1484;1834;2021;1871;1693;1786;2294;2863;3018;2779;2670;2108;1766;1277;846;553;355
ACES Madeira Este;M;221;1095;1447;1716;1927;1840;1628;1869;2332;3034;3068;2879;2900;2472;2109;1586;1358;1108;1122
ACES Madeira Oeste;H;275;1163;1548;1883;2324;2184;1903;1896;2143;2574;2869;2716;2601;2113;1760;1426;970;598;455
ACES Madeira Oeste;M;258;1130;1461;1809;2131;2219;1861;1852;2250;2595;2858;2934;3107;2694;2311;2077;1794;1408;1349
ACES Porto Santo;M;13;67;91;121;117;137;124;115;189;192;221;220;251;216;163;128;88;83;77
ACES Porto Santo;H;12;53;106;119;156;137;131;136;183;181;211;215;240;226;164;113;73;44;36
ULS da Arrábida;M;907;4174;5635;6570;6644;6485;5908;6477;7991;10045;10806;8912;8444;8328;7709;7415;5859;4436;4829
ULS da Arrábida;H;951;4362;5854;6886;7078;6788;5967;6175;7426;9392;9919;8214;7498;7153;6549;6405;4907;3244;2390
ULS da Cova da Beira;M;232;989;1241;1510;1683;1795;1573;1717;2153;2585;2789;2804;3069;3282;3266;2917;2621;2276;2877
ULS da Cova da Beira;H;220;1002;1399;1569;1758;2003;1728;1848;2112;2474;2577;2659;2816;3125;3079;2496;2030;1518;1371
ULS da Guarda;H;374;1565;2097;2462;2948;3136;2716;2775;3396;4012;4264;4597;5088;5555;5347;4740;3911;3269;2958
ULS da Guarda;M;331;1529;2151;2407;2707;3064;2550;2702;3444;4159;4366;4838;5474;5901;5723;5453;5258;4567;5909
ULS da Lezíria;H;619;2845;3801;4465;4903;4860;4111;4340;5188;6318;6862;6343;6189;6013;5687;5394;4222;3351;2534
ULS da Lezíria;M;621;2752;3710;4288;4494;4405;3869;4117;5379;6620;7263;6750;6987;6772;6519;6288;5699;4801;5352
