uls_2023,dim_3_t,81 - 84 anos,65 - 69 anos,30 - 34 anos,10 - 14 anos,40 - 44 anos,15 - 19 anos,5 - 9 anos,35 - 39 anos,85 e mais anos,75 - 80 anos,70 - 74 anos,20 - 24 anos,55 - 59 anos,50 - 54 anos,1 - 4 anos,60 - 64 anos,45 - 49 anos,<1 ano,25 - 29 anos
ACES Funchal,M,2019,3846,2664,2366,4033,2735,1977,3490,2058,2625,3335,2684,4964,4547,1487,4387,4502,345,2573
ACES Funchal,H,1050,2997,2633,2565,3734,2805,2027,3213,800,1696,2437,2901,4194,3979,1534,3687,3999,346,2548
ACES Madeira Este,H,553,1766,1786,1834,2863,2021,1484,2294,355,846,1277,1871,2670,2779,1149,2108,3018,236,1693
ACES Madeira Este,M,1108,2109,1869,1716,3034,1927,1447,2332,1122,1358,1586,1840,2900,2879,1095,2472,3068,221,1628
ACES Madeira Oeste,H,598,1760,1896,1883,2574,2324,1548,2143,455,970,1426,2184,2601,2716,1163,2113,2869,275,1903
ACES Madeira Oeste,M,1408,2311,1852,1809,2595,2131,1461,2250,1349,1794,2077,2219,3107,2934,1130,2694,2858,258,1861
ACES Porto Santo,M,83,163,115,121,192,117,91,189,77,88,128,137,251,220,67,216,221,13,124
ACES Porto Santo,H,44,164,136,119,181,156,106,183,36,73,113,137,240,215,53,226,211,12,131
ULS da Arrábida,M,4436,7709,6477,6570,10045,6644,5635,7991,4829,5859,7415,6485,8444,8912,4174,8328,10806,907,5908
ULS da Arrábida,H,3244,6549,6175,6886,9392,7078,5854,7426,2390,4907,6405,6788,7498,8214,4362,7153,9919,951,5967
ULS da Cova da Beira,M,2276,3266,1717,1510,2585,1683,1241,2153,2877,2621,2917,1795,3069,2804,989,3282,2789,232,1573
ULS da Cova da Beira,H,1518,3079,1848,1569,2474,1758,1399,2112,1371,2030,2496,2003,2816,2659,1002,3125,2577,220,1728
ULS da Guarda,H,3269,5347,2775,2462,4012,2948,2097,3396,2958,3911,4740,3136,5088,4597,1565,5555,4264,374,2716
ULS da Guarda,M,4567,5723,2702,2407,4159,2707,2151,3444,5909,5258,5453,3064,5474,4838,1529,5901,4366,331,2550
ULS da Lezíria,H,3351,5687,4340,4465,6318,4903,3801,5188,2534,4222,5394,4860,6189,6343,2845,6013,6862,619,4111
ULS da Lezíria,M,4801,6519,4117,4288,6620,4494,3710,5379,5352,5699,6288,4405,6987,6750,2752,6772,7263,621,3869
ULS da Póvoa de Varzim/Vila do Conde,M,2347,4844,4074,3671,5821,3877,3080,4974,2350,3264,4129,3983,5828,5820,2354,5127,6208,519,3855
ULS da Póvoa de Varzim/Vila do Conde,H,1582,4008,3865,3847,5328,4069,3179,4510,1125,2450,3553,4080,5017,5191,2433,4505,5653,560,4000
ULS da Região de Aveiro,H,5369,11004,9766,8639,12990,9123,7740,11364,4365,7198,9692,10094,12723,13173,6130,11873,13573,1337,9647
ULS da Região de Aveiro,M,7407,12486,9823,8261,13799,8960,7284,11783,7999,9272,11293,9648,14223,14339,5655,13648,14778,1341,9604
ULS da Região de Leiria,H,6059,11381,9497,8753,12884,9719,7910,10808,4752,7891,10024,10378,12747,13132,5816,12117,13321,1394,9768
ULS da Região de Leiria,M,8290,12739,9462,8434,13949,9094,7352,11249,8959,10041,11903,9875,14033,14262,5835,13428,14431,1227,9026
ULS de Almada-Seixal,H,4847,9443,9463,9119,12315,9207,8264,10574,3468,6965,8878,9572,10047,10763,6225,9631,12656,1378,9017
ULS de Almada-Seixal,M,6517,11710,10329,8556,13760,8604,7720,11553,6621,8692,10881,9365,12176,12196,6071,12241,14011,1380,9530
ULS de Amadora/Sintra,H,6043,12932,17114,14679,19525,15634,13259,17527,4494,9375,11833,16886,17016,18915,10811,14860,20616,2527,17139
ULS de Amadora/Sintra,M,9102,16394,18141,14292,22207,15230,12870,19325,8945,12346,15508,16931,20178,22189,10446,18108,23445,2370,17848
ULS de Barcelos/Esposende,M,2448,4841,4240,3581,6097,4092,3056,4869,2587,3083,4047,4659,6007,6164,2369,5367,6621,467,4282
ULS de Barcelos/Esposende,H,1598,4253,4065,3841,5615,4366,3166,4604,1280,2385,3534,4836,5482,5745,2481,4828,6019,530,4379
